proposal_id,pi,count,prog_code
8183,"Miley, George K.",1,59l
8992,"Ford, Holland",42,8cw
8993,"Fruchter, Andrew S.",1,8c4
9018,"De Marchi, Guido",13,8c0
9023,"Hartig, George",1,8c6
9028,"Meurer, Gerhardt R.",2,8cd
9029,"Pasquali, Anna",3,8ca
9033,"Ebeling, Harald",12,6fy
9075,"Perlmutter, Saul",117,6fl
9087,"Garcia, Michael R.",15,6d5
9118,"Schmidt, Brian",5,6ec
9270,"Allen, Steven W.",3,8d1
9274,"Gregg, Michael D.",4,6jf
9281,"Grindlay, Jonathan E.",6,8fw
9288,"Ford, Holland",8,8dr
9289,"Ford, Holland",23,8e9
9290,"Ford, Holland",64,8eh
9291,"Ford, Holland",32,8du
9292,"Ford, Holland",16,8e1
9293,"Ford, Holland",10,6jt
9294,"Ford, Holland",4,8ea
9295,"Ford, Holland",8,8e7
9299,"Ford, Holland",2,8e8
9301,"Ford, Holland",14,8eb
9351,"Riess, Adam",17,8d2
9352,"Riess, Adam",57,8g6
9353,"Smartt, Stephen J.",20,8dt
9361,"Aloisi, Alessandra",4,8d5
9363,"Caldwell, Nelson",18,8d8
9367,"Hazard, Cyril",5,8ds
9370,"Bregman, Joel N.",1,8dq
9373,"Rejkuba, Marina",8,6la
9376,"Keel, William Clifford",3,8e3
9381,"Walter, Fabian",4,8fu
9392,"Mateo, Mario L.",12,8f1
9395,"Carollo, Marcella",23,8f0
9399,"Carter, David",14,8fk
9400,"Thuan, Trinh Xuan",9,6kx
9401,"Cote, Patrick",200,8fs
9403,"Grogin, Norman",6,8fp
9404,"Thompson, David John",1,8fq
9405,"Fruchter, Andrew S.",120,8iy
9409,"Goudfrooij, Paul",15,6n2
9411,"Malhotra, Sangeeta",10,8dl
9414,"de Grijs, Richard",18,8eo
9418,"Jenkins, Edward B.",1,8d9
9419,"Maiz Apellaniz, Jesus",21,8dj
9424,"Stapelfeldt, Karl",6,8ee
9425,"Giavalisco, Mauro",247,8e6
9427,"Harris, William Edgar",34,6m6
9428,"Kirshner, Robert P.",13,6mi
9433,"Bernstein, Gary",52,6mf
9438,"West, Michael J.",16,6me
9442,"Cool, Adrienne",18,6lp
9443,"King, Ivan R.",5,6ll
9444,"King, Ivan R.",3,6lk
9445,"Bennett, David P.",28,6m9
9448,"Ferrarese, Laura",1,8d3
9450,"Jackson, Neal J.",36,8d4
9452,"Ellis, Richard S.",5,6lq
9453,"Brown, Thomas M.",66,8f8
9454,"Maoz, Dan",2,8ff
9458,"Ferguson, Annette",26,8db
9463,"Sahai, Raghvendra",44,8di
9468,"Yan, Lin",663,8hq
9471,"Mignani, Roberto",3,8fg
9472,"Strauss, Michael A.",4,8f3
9473,"Vacca, William D.",1,8fh
9476,"Dalcanton, Julianne",60,8f6
9477,"Madore, Barry F.",2,8fm
9479,"Sarajedini, Ata",6,8g8
9480,"Rhodes, Jason D.",1575,8ho
9482,"Rhoads, James",616,8hp
9483,"Yun, Min S.",12,8ej
9488,"Ratnatunga, Kavan",838,8i0
9490,"Kuntz, Kip",30,8d6
9492,"Bresolin, Fabio",50,8d7
9498,"Junkkarinen, Vesa T.",2,8dd
9500,"Rix, Hans-Walter R",125,8de
9502,"Ziegler, Bodo",4,8dk
9503,"Nagar, Neil",4,8dm
9560,"Gilliland, Ronald L",2,6ko
9575,"Sparks, William B.",560,8fn
9578,"Rhodes, Jason D.",6,8fe
9583,"Giavalisco, Mauro",253,8dn
9584,"Sparks, William B.",152,8g9
9586,"Sparks, William B.",2,8gh
9648,"Riess, Adam",25,8hm
9656,"De Marchi, Guido",11,8hw
9660,"Sparks, William B.",16,8l5
9663,"Gilliland, Ronald L",2,8hr
9665,"Gilliland, Ronald L",18,8i2
9666,"Gilliland, Ronald L",8,8io
9667,"Krist, John",1,8j8
9671,"ODea, Christopher P.",3,8iv
9682,"Sambruna, Rita M.",6,8ki
9683,"Bauer, Franz",3,8jg
9684,"Kaaret, Philip",1,8k9
9689,"Gregg, Michael D.",4,8kk
9690,"Grindlay, Jonathan E.",12,8kc
9694,"Bond, Howard E.",11,8jy
9696,"Noll, Keith S.",2,8kd
9697,"Gilliland, Ronald L",4,8kh
9698,"Noll, Keith S.",3,8ko
9701,"Sparks, William B.",18,8kt
9714,"Noll, Keith S.",18,8lw
9717,"Ford, Holland",13,8ow
9719,"Bridges, Terry",3,8pz
9722,"Ebeling, Harald",23,8qu
9727,"Perlmutter, Saul",87,8wq
9728,"Riess, Adam",113,8n1
9729,"Ruiz-Lapuente, Pilar",2,8s9
9731,"Sankrit, Ravi",2,8pt
9733,"Smartt, Stephen J.",6,8nv
9735,"Whitmore, Brad C.",7,8st
9741,"Gordon, Karl D.",6,8mw
9742,"Herbst, William",1,8oh
9744,"Kochanek, Chris S.",97,8oi
9750,"Sahu, Kailash C.",207,8q6
9751,"Sahu, Kailash C.",2,8ps
9753,"Storrie-Lombardi, L. J.",50,8t8
9755,"Walter, Fabian",3,8qw
9756,"Walter, Frederick M.",6,8nq
9760,"Abraham, Roberto G.",16,8qc
9761,"Almaini, Omar",8,8qx
9763,"Barth, Aaron J.",8,8nt
9764,"Best, Philip N.",16,8nu
9765,"de Jong, Roelof S.",36,8r3
9766,"Forbes, Duncan A.",16,8o3
9767,"Gebhardt, Karl",17,8o4
9770,"Jorgensen, Inger",26,8pi
9771,"Karachentsev, Igor Dmitrievich",68,8mq
9772,"Kelson, Daniel D.",16,8pf
9773,"Kenney, Jeff D.",3,8r1
9774,"Larsen, Soeren S.",33,8ph
9776,"Richstone, Douglas O.",3,8pp
9777,"Stiavelli, Massimo",30,8pj
9781,"Yang, Yujin",30,8pc
9787,"Hester, Jeff J.",1,8q4
9788,"Ho, Luis C.",44,8mx
9789,"Johns-Krull, Christopher Michael",6,8pm
9793,"Malhotra, Sangeeta",48,8qq
9794,"Massey, Philip Louis",16,8mg
9796,"Miller, Jon Matthew",17,8ol
9799,"Rich, R. Michael",10,8qe
9803,"Thompson, Rodger I.",163,8mt
9810,"Greenhill, Lincoln J.",72,8r0
9811,"Harris, William Edgar",33,8n9
9815,"King, Ivan R.",2,8ny
9816,"Kuijken, Konrad",18,8oz
9820,"Momany, Yazan",3,8mp
9822,"Scoville, Nicholas Z.",270,8pu
9827,"Bianchi, Luciana C.",3,8qz
9830,"Bothun, Gregory D.",3,8qi
9836,"Ellis, Richard S.",43,8rq
9837,"Ferguson, Annette",10,8q8
9842,"Gizis, John Evangelos",7,8rw
9847,"Perlman, Eric S.",2,8o8
9856,"Chapman, Scott C.",9,8s0
9857,"De Marco, Orsola",6,8rh
9860,"Garnavich, Peter M.",120,8rc
9861,"Kalas, Paul George",17,8sk
9863,"Krist, John",1,8mv
9864,"Madore, Barry F.",2,8m9
9872,"Sanwal, Divas",9,8rz
9873,"Sarajedini, Ata",24,8re
9877,"Williger, Gerard",47,8sb
9884,"Armandroff, Taft E.",15,8qh
9890,"Fesen, Robert A.",28,8oo
9891,"Gilmore, Gerard F.",67,8ne
9892,"Jansen, Rolf A.",20,8og
9895,"Mulchaey, John S.",20,8n2
9896,"Munoz, Jose A.",1,8nw
9897,"ODea, Christopher P.",2,8rt
9898,"ODell, Charles Robert",1,8mf
9899,"Piotto, Giampaolo",2,8n3
9902,"Ridgway, Susan",11,8pr
9905,"Strauss, Michael A.",16,8np
9908,"Ziegler, Bodo",4,8n6
9919,"Ford, Holland",16,8pv
9974,"Peterson, Ruth C.",1,8qy
9977,"Bennett, David P.",32,8nr
9978,"Beckwith, Steven",190,8m8
9983,"Noll, Keith S.",13,8my
9984,"Rhodes, Jason D.",1767,8mb
9986,"Ford, Holland",1,8ot
9987,"Ford, Holland",17,8qj
9992,"Kirshner, Robert P.",1,8t7
10001,"Kaaret, Philip",4,8vo
10002,"Perlman, Eric S.",11,8w1
10003,"Sarazin, Craig L.",2,8vg
10004,"Tavecchio, F.",6,8v3
10005,"Lewin, Walter H. G.",6,8vv
10006,"Garcia, Michael R.",10,8vp
10008,"Grindlay, Jonathan E.",3,8vx
10009,"Grindlay, Jonathan E.",11,8vz
10043,"Riess, Adam",30,8ux
10048,"Mack, Jennifer",4,8ur
10056,"Gilliland, Ronald L",7,8ui
10058,"Walsh, Jeremy Richard",13,8uz
10086,"Beckwith, Steven",12,8wc
10089,"Noll, Keith S.",9,8wt
10092,"Scoville, Nicholas Z.",321,8xi
10094,"Peterson, Ruth C.",2,92t
10098,"Ruiz-Lapuente, Pilar",7,8yw
10099,"Walter, Frederick M.",6,90e
10101,"King, Ivan R.",3,91c
10105,"Sahu, Kailash C.",1,93h
10118,"Fesen, Robert A.",1,8zs
10119,"Fox, Derek",12,9c0
10120,"Anderson, Scott F.",13,921
10121,"Bailyn, Charles David",2,90c
10126,"Olszewski, Edward W.",18,906
10127,"Miley, George K.",30,8za
10128,"Ferguson, Annette",6,91m
10129,"Puzia, Thomas H.",9,8zq
10131,"Ciardullo, Robin",18,8zd
10134,"Davis, Marc",126,90r
10135,"Kulkarni, Shrinivas R.",78,93y
10136,"Bond, Howard E.",8,92p
10138,"Luhman, Kevin",40,8xs
10146,"Bedin, Luigi R.",6,90a
10152,"Donahue, Megan",23,90i
10154,"Pello, Roser",2,8yi
10158,"Fassnacht, Christopher",22,935
10159,"Ellis, Richard S.",9,8ze
10166,"Borucki, William J.",6,91s
10172,"de Grijs, Richard",1,8z2
10174,"Koopmans, Leon",78,93i
10181,"Bentz, Misty C.",6,902
10182,"Filippenko, Alex V.",12,90z
10185,"Sahai, Raghvendra",13,92k
10187,"Smartt, Stephen J.",5,90n
10188,"Whitmore, Brad C.",16,91k
10189,"Riess, Adam",222,94s
10190,"Garnett, Donald R",94,90o
10195,"Rhoads, James",32,924
10196,"Franx, Marijn",54,90t
10200,"Jones, Christine",4,907
10201,"Conselice, Christopher",10,916
10207,"Prochaska, Jason X.",6,91z
10210,"Tully, R. Brent",42,8yy
10213,"Zane, Silvia",4,92v
10214,"Soria, Roberto",4,92w
10216,"Treu, Tommaso L.",20,8zb
10217,"Jordan, Andres",86,90x
10227,"Goudfrooij, Paul",34,92y
10228,"Kalas, Paul George",9,93m
10229,"Piatek, Slawomir Stanislaw",5,934
10235,"Karachentsev, Igor Dmitrievich",33,8xz
10237,"Fan, Xiaohui",4,90k
10242,"Cole, Andrew A.",12,938
10246,"Robberto, Massimo",419,93k
10248,"Nota, Antonella",28,92f
10250,"Huchra, John P.",24,90l
10252,"Anderson, Jay",2,923
10257,"Anderson, Jay",10,928
10258,"Kretchmer, Claudia",80,91h
10260,"Harris, William Edgar",24,8z0
10263,"Kirshner, Robert P.",27,91o
10265,"Brown, Thomas M.",56,92c
10267,"Clayton, Geoffrey C.",11,8zv
10273,"Crotts, Arlin P. S.",62,92g
10277,"West, Michael J.",14,90q
10286,"Fesen, Robert A.",24,8zm
10287,"Ford, Holland",3,90v
10325,"Ford, Holland",36,91j
10326,"Ford, Holland",16,90y
10327,"Ford, Holland",19,914
10330,"Ford, Holland",29,917
10334,"Ford, Holland",16,911
10339,"Riess, Adam",197,91w
10340,"Riess, Adam",182,92q
10342,"Noll, Keith S.",6,93s
10343,"Sambruna, Rita M.",1,94e
10349,"Lewin, Walter H. G.",8,954
10352,"Marshall, Herman L.",15,974
10353,"Grindlay, Jonathan E.",8,95a
10354,"Jenkins, Leigh",3,958
10368,"Riess, Adam",30,94f
10374,"Giavalisco, Mauro",10,97e
10375,"Mack, Jennifer",4,94r
10392,"Noll, Keith S.",12,955
10393,"Noll, Keith S.",12,95d
10394,"Tanvir, Nial Rahil",41,96g
10395,"Gray, Meghan",80,96e
10396,"Gallagher, John S.",28,961
10397,"West, Michael J.",9,96f
10399,"Greenhill, Lincoln J.",76,96h
10400,"Chandar, Rupali",1,969
10402,"Chandar, Rupali",100,96r
10404,"Zirm, Andrew",32,962
10405,"Chapman, Scott C.",10,96v
10407,"Morrison, Heather",14,96q
10409,"Olofsson, Hans",8,96a
10411,"Ferraro, Francesco R.",6,973
