# wave flux
# http://cdsarc.u-strasbg.fr/viz-bin/Cat?J/A%2bA/417/515
# iwz1.fit
3.00000e+03 0.00000e+00
3.00075e+03 0.00000e+00
3.00150e+03 0.00000e+00
3.00225e+03 0.00000e+00
3.00300e+03 0.00000e+00
3.00375e+03 0.00000e+00
3.00450e+03 0.00000e+00
3.00525e+03 0.00000e+00
3.00601e+03 0.00000e+00
3.00676e+03 0.00000e+00
3.00751e+03 0.00000e+00
3.00826e+03 0.00000e+00
3.00901e+03 0.00000e+00
3.00977e+03 0.00000e+00
3.01052e+03 0.00000e+00
3.01127e+03 0.00000e+00
3.01202e+03 0.00000e+00
3.01278e+03 0.00000e+00
3.01353e+03 0.00000e+00
3.01428e+03 0.00000e+00
3.01504e+03 0.00000e+00
3.01579e+03 0.00000e+00
3.01655e+03 0.00000e+00
3.01730e+03 0.00000e+00
3.01805e+03 0.00000e+00
3.01881e+03 0.00000e+00
3.01956e+03 0.00000e+00
3.02032e+03 0.00000e+00
3.02107e+03 0.00000e+00
3.02183e+03 0.00000e+00
3.02258e+03 0.00000e+00
3.02334e+03 0.00000e+00
3.02410e+03 0.00000e+00
3.02485e+03 0.00000e+00
3.02561e+03 0.00000e+00
3.02637e+03 0.00000e+00
3.02712e+03 0.00000e+00
3.02788e+03 0.00000e+00
3.02864e+03 0.00000e+00
3.02939e+03 0.00000e+00
3.03015e+03 0.00000e+00
3.03091e+03 0.00000e+00
3.03167e+03 0.00000e+00
3.03242e+03 0.00000e+00
3.03318e+03 0.00000e+00
3.03394e+03 0.00000e+00
3.03470e+03 0.00000e+00
3.03546e+03 0.00000e+00
3.03622e+03 0.00000e+00
3.03698e+03 0.00000e+00
3.03774e+03 0.00000e+00
3.03849e+03 0.00000e+00
3.03925e+03 0.00000e+00
3.04001e+03 0.00000e+00
3.04077e+03 0.00000e+00
3.04153e+03 0.00000e+00
3.04230e+03 0.00000e+00
3.04306e+03 0.00000e+00
3.04382e+03 0.00000e+00
3.04458e+03 0.00000e+00
3.04534e+03 0.00000e+00
3.04610e+03 0.00000e+00
3.04686e+03 0.00000e+00
3.04762e+03 0.00000e+00
3.04839e+03 0.00000e+00
3.04915e+03 0.00000e+00
3.04991e+03 0.00000e+00
3.05067e+03 0.00000e+00
3.05144e+03 0.00000e+00
3.05220e+03 0.00000e+00
3.05296e+03 0.00000e+00
3.05373e+03 0.00000e+00
3.05449e+03 0.00000e+00
3.05525e+03 0.00000e+00
3.05602e+03 0.00000e+00
3.05678e+03 0.00000e+00
3.05754e+03 0.00000e+00
3.05831e+03 0.00000e+00
3.05907e+03 0.00000e+00
3.05984e+03 0.00000e+00
3.06060e+03 0.00000e+00
3.06137e+03 0.00000e+00
3.06213e+03 0.00000e+00
3.06290e+03 0.00000e+00
3.06367e+03 0.00000e+00
3.06443e+03 0.00000e+00
3.06520e+03 0.00000e+00
3.06596e+03 0.00000e+00
3.06673e+03 0.00000e+00
3.06750e+03 0.00000e+00
3.06827e+03 0.00000e+00
3.06903e+03 0.00000e+00
3.06980e+03 0.00000e+00
3.07057e+03 0.00000e+00
3.07133e+03 0.00000e+00
3.07210e+03 0.00000e+00
3.07287e+03 0.00000e+00
3.07364e+03 0.00000e+00
3.07441e+03 0.00000e+00
3.07518e+03 0.00000e+00
3.07595e+03 0.00000e+00
3.07671e+03 0.00000e+00
3.07748e+03 0.00000e+00
3.07825e+03 0.00000e+00
3.07902e+03 0.00000e+00
3.07979e+03 0.00000e+00
3.08056e+03 0.00000e+00
3.08133e+03 0.00000e+00
3.08210e+03 0.00000e+00
3.08287e+03 0.00000e+00
3.08364e+03 0.00000e+00
3.08442e+03 0.00000e+00
3.08519e+03 0.00000e+00
3.08596e+03 0.00000e+00
3.08673e+03 0.00000e+00
3.08750e+03 0.00000e+00
3.08827e+03 0.00000e+00
3.08905e+03 0.00000e+00
3.08982e+03 0.00000e+00
3.09059e+03 0.00000e+00
3.09136e+03 0.00000e+00
3.09214e+03 0.00000e+00
3.09291e+03 0.00000e+00
3.09368e+03 0.00000e+00
3.09446e+03 0.00000e+00
3.09523e+03 0.00000e+00
3.09600e+03 0.00000e+00
3.09678e+03 0.00000e+00
3.09755e+03 0.00000e+00
3.09833e+03 0.00000e+00
3.09910e+03 0.00000e+00
3.09988e+03 0.00000e+00
3.10065e+03 0.00000e+00
3.10143e+03 0.00000e+00
3.10220e+03 0.00000e+00
3.10298e+03 0.00000e+00
3.10375e+03 0.00000e+00
3.10453e+03 0.00000e+00
3.10531e+03 0.00000e+00
3.10608e+03 0.00000e+00
3.10686e+03 0.00000e+00
3.10764e+03 0.00000e+00
3.10841e+03 0.00000e+00
3.10919e+03 0.00000e+00
3.10997e+03 0.00000e+00
3.11075e+03 0.00000e+00
3.11152e+03 0.00000e+00
3.11230e+03 0.00000e+00
3.11308e+03 0.00000e+00
3.11386e+03 0.00000e+00
3.11464e+03 0.00000e+00
3.11541e+03 0.00000e+00
3.11619e+03 0.00000e+00
3.11697e+03 0.00000e+00
3.11775e+03 0.00000e+00
3.11853e+03 0.00000e+00
3.11931e+03 0.00000e+00
3.12009e+03 0.00000e+00
3.12087e+03 0.00000e+00
3.12165e+03 0.00000e+00
3.12243e+03 0.00000e+00
3.12321e+03 0.00000e+00
3.12399e+03 0.00000e+00
3.12478e+03 0.00000e+00
3.12556e+03 0.00000e+00
3.12634e+03 0.00000e+00
3.12712e+03 0.00000e+00
3.12790e+03 0.00000e+00
3.12868e+03 0.00000e+00
3.12947e+03 0.00000e+00
3.13025e+03 0.00000e+00
3.13103e+03 0.00000e+00
3.13181e+03 0.00000e+00
3.13260e+03 0.00000e+00
3.13338e+03 0.00000e+00
3.13416e+03 0.00000e+00
3.13495e+03 0.00000e+00
3.13573e+03 0.00000e+00
3.13651e+03 0.00000e+00
3.13730e+03 0.00000e+00
3.13808e+03 0.00000e+00
3.13887e+03 0.00000e+00
3.13965e+03 0.00000e+00
3.14044e+03 0.00000e+00
3.14122e+03 0.00000e+00
3.14201e+03 0.00000e+00
3.14279e+03 0.00000e+00
3.14358e+03 0.00000e+00
3.14437e+03 0.00000e+00
3.14515e+03 0.00000e+00
3.14594e+03 0.00000e+00
3.14673e+03 0.00000e+00
3.14751e+03 0.00000e+00
3.14830e+03 0.00000e+00
3.14909e+03 0.00000e+00
3.14987e+03 0.00000e+00
3.15066e+03 0.00000e+00
3.15145e+03 0.00000e+00
3.15224e+03 0.00000e+00
3.15302e+03 0.00000e+00
3.15381e+03 0.00000e+00
3.15460e+03 0.00000e+00
3.15539e+03 0.00000e+00
3.15618e+03 0.00000e+00
3.15697e+03 0.00000e+00
3.15776e+03 0.00000e+00
3.15855e+03 0.00000e+00
3.15934e+03 0.00000e+00
3.16013e+03 0.00000e+00
3.16092e+03 0.00000e+00
3.16171e+03 0.00000e+00
3.16250e+03 0.00000e+00
3.16329e+03 0.00000e+00
3.16408e+03 0.00000e+00
3.16487e+03 0.00000e+00
3.16566e+03 0.00000e+00
3.16645e+03 0.00000e+00
3.16725e+03 0.00000e+00
3.16804e+03 0.00000e+00
3.16883e+03 0.00000e+00
3.16962e+03 0.00000e+00
3.17041e+03 0.00000e+00
3.17121e+03 0.00000e+00
3.17200e+03 0.00000e+00
3.17279e+03 0.00000e+00
3.17359e+03 0.00000e+00
3.17438e+03 0.00000e+00
3.17517e+03 0.00000e+00
3.17597e+03 0.00000e+00
3.17676e+03 0.00000e+00
3.17756e+03 0.00000e+00
3.17835e+03 0.00000e+00
3.17914e+03 0.00000e+00
3.17994e+03 0.00000e+00
3.18073e+03 0.00000e+00
3.18153e+03 0.00000e+00
3.18233e+03 0.00000e+00
3.18312e+03 0.00000e+00
3.18392e+03 0.00000e+00
3.18471e+03 0.00000e+00
3.18551e+03 0.00000e+00
3.18631e+03 0.00000e+00
3.18710e+03 0.00000e+00
3.18790e+03 0.00000e+00
3.18870e+03 0.00000e+00
3.18949e+03 0.00000e+00
3.19029e+03 0.00000e+00
3.19109e+03 0.00000e+00
3.19189e+03 0.00000e+00
3.19269e+03 0.00000e+00
3.19348e+03 0.00000e+00
3.19428e+03 0.00000e+00
3.19508e+03 0.00000e+00
3.19588e+03 0.00000e+00
3.19668e+03 0.00000e+00
3.19748e+03 0.00000e+00
3.19828e+03 0.00000e+00
3.19908e+03 0.00000e+00
3.19988e+03 0.00000e+00
3.20068e+03 0.00000e+00
3.20148e+03 0.00000e+00
3.20228e+03 0.00000e+00
3.20308e+03 0.00000e+00
3.20388e+03 0.00000e+00
3.20468e+03 0.00000e+00
3.20548e+03 0.00000e+00
3.20628e+03 0.00000e+00
3.20708e+03 0.00000e+00
3.20789e+03 0.00000e+00
3.20869e+03 0.00000e+00
3.20949e+03 0.00000e+00
3.21029e+03 0.00000e+00
3.21110e+03 0.00000e+00
3.21190e+03 0.00000e+00
3.21270e+03 0.00000e+00
3.21351e+03 0.00000e+00
3.21431e+03 0.00000e+00
3.21511e+03 0.00000e+00
3.21592e+03 0.00000e+00
3.21672e+03 0.00000e+00
3.21752e+03 0.00000e+00
3.21833e+03 0.00000e+00
3.21913e+03 0.00000e+00
3.21994e+03 0.00000e+00
3.22074e+03 0.00000e+00
3.22155e+03 0.00000e+00
3.22235e+03 0.00000e+00
3.22316e+03 0.00000e+00
3.22397e+03 0.00000e+00
3.22477e+03 0.00000e+00
3.22558e+03 0.00000e+00
3.22638e+03 0.00000e+00
3.22719e+03 0.00000e+00
3.22800e+03 0.00000e+00
3.22881e+03 0.00000e+00
