#  wave flux
#  2MASS_J14392837%2B1929150.txt - L1.0
1.00000e-01 0.00000e+00
3.54300e+03 2.27428e-05
4.77000e+03 4.84437e-05
6.23100e+03 2.64311e-04
6.30000e+03 1.46155e-04
6.30190e+03 1.55122e-04
6.30380e+03 1.82646e-04
6.30570e+03 1.48573e-04
6.30760e+03 1.40431e-04
6.30950e+03 1.59903e-04
6.31140e+03 1.64284e-04
6.31330e+03 1.66733e-04
6.31520e+03 1.66240e-04
6.31710e+03 1.90775e-04
6.31900e+03 1.87524e-04
6.32090e+03 1.80667e-04
6.32280e+03 1.84304e-04
6.32470e+03 1.81035e-04
6.32660e+03 1.90569e-04
6.32850e+03 1.84033e-04
6.33040e+03 1.89075e-04
6.33230e+03 2.21708e-04
6.33420e+03 2.13566e-04
6.33610e+03 2.12377e-04
6.33800e+03 2.44767e-04
6.33990e+03 2.21878e-04
6.34180e+03 2.14877e-04
6.34370e+03 2.28427e-04
6.34560e+03 2.17356e-04
6.34750e+03 2.06882e-04
6.34940e+03 2.45607e-04
6.35130e+03 2.47144e-04
6.35320e+03 2.50577e-04
6.35510e+03 2.29629e-04
6.35700e+03 2.31759e-04
6.35890e+03 2.45834e-04
6.36080e+03 2.35804e-04
6.36270e+03 2.42162e-04
6.36460e+03 2.22432e-04
6.36650e+03 2.31890e-04
6.36840e+03 2.44399e-04
6.37030e+03 2.22442e-04
6.37220e+03 2.03434e-04
6.37410e+03 2.07104e-04
6.37600e+03 2.20347e-04
6.37790e+03 2.01222e-04
6.37980e+03 1.99730e-04
6.38170e+03 2.16832e-04
6.38360e+03 1.96927e-04
6.38550e+03 2.03378e-04
6.38740e+03 2.24461e-04
6.38930e+03 1.98517e-04
6.39120e+03 2.10341e-04
6.39310e+03 2.22971e-04
6.39500e+03 2.31430e-04
6.39690e+03 2.11616e-04
6.39880e+03 2.37623e-04
6.40070e+03 2.39381e-04
6.40260e+03 2.40030e-04
6.40450e+03 1.95458e-04
6.40640e+03 2.01517e-04
6.40830e+03 2.12417e-04
6.41020e+03 2.42042e-04
6.41210e+03 2.27874e-04
6.41400e+03 2.07711e-04
6.41590e+03 2.20689e-04
6.41780e+03 2.52120e-04
6.41970e+03 2.22555e-04
6.42160e+03 2.19183e-04
6.42350e+03 2.43727e-04
6.42540e+03 2.25881e-04
6.42730e+03 2.23325e-04
6.42920e+03 2.45710e-04
6.43110e+03 2.28312e-04
6.43300e+03 2.21031e-04
6.43490e+03 2.22822e-04
6.43680e+03 2.17827e-04
6.43870e+03 2.38194e-04
6.44060e+03 2.26461e-04
6.44250e+03 2.27673e-04
6.44440e+03 2.41083e-04
6.44630e+03 2.36539e-04
6.44820e+03 2.48844e-04
6.45010e+03 2.43057e-04
6.45200e+03 2.48680e-04
6.45390e+03 2.70837e-04
6.45580e+03 2.58948e-04
6.45770e+03 2.16051e-04
6.45960e+03 2.21312e-04
6.46150e+03 2.38824e-04
6.46340e+03 2.31494e-04
6.46530e+03 2.26355e-04
6.46720e+03 2.40548e-04
6.46910e+03 2.69527e-04
6.47100e+03 2.67844e-04
6.47290e+03 2.70004e-04
6.47480e+03 2.36614e-04
6.47670e+03 2.35647e-04
6.47860e+03 2.54247e-04
6.48050e+03 2.62900e-04
6.48240e+03 2.31994e-04
6.48430e+03 2.83213e-04
6.48620e+03 2.49856e-04
6.48810e+03 2.44797e-04
6.49000e+03 2.82907e-04
6.49190e+03 2.70111e-04
6.49380e+03 2.66394e-04
6.49570e+03 2.92165e-04
6.49760e+03 2.78427e-04
6.49950e+03 2.81957e-04
6.50140e+03 2.93261e-04
6.50330e+03 3.03866e-04
6.50520e+03 3.12424e-04
6.50710e+03 3.10875e-04
6.50900e+03 3.21255e-04
6.51090e+03 3.34437e-04
6.51280e+03 3.39782e-04
6.51470e+03 3.51816e-04
6.51660e+03 3.39788e-04
6.51850e+03 3.53767e-04
6.52040e+03 3.91978e-04
6.52230e+03 3.92015e-04
6.52420e+03 4.03037e-04
6.52610e+03 3.86179e-04
6.52800e+03 3.99831e-04
6.52990e+03 3.99836e-04
6.53180e+03 4.18606e-04
6.53370e+03 4.38141e-04
6.53560e+03 4.68639e-04
6.53750e+03 4.83266e-04
6.53940e+03 4.92894e-04
6.54130e+03 4.81352e-04
6.54320e+03 4.80294e-04
6.54510e+03 4.71598e-04
6.54700e+03 4.55851e-04
6.54890e+03 4.68588e-04
6.55080e+03 4.90559e-04
6.55270e+03 5.14229e-04
6.55460e+03 4.86984e-04
6.55650e+03 4.69226e-04
6.55840e+03 4.80955e-04
6.56030e+03 4.98653e-04
6.56220e+03 5.04366e-04
6.56410e+03 4.94280e-04
6.56600e+03 5.14952e-04
6.56790e+03 4.91258e-04
6.56980e+03 5.02144e-04
6.57170e+03 4.93085e-04
6.57360e+03 4.47927e-04
6.57550e+03 4.17919e-04
6.57740e+03 4.50111e-04
6.57930e+03 4.36739e-04
6.58120e+03 4.66109e-04
6.58310e+03 4.44908e-04
6.58500e+03 4.26582e-04
6.58690e+03 4.26886e-04
6.58880e+03 4.57630e-04
6.59070e+03 4.76939e-04
6.59260e+03 4.73457e-04
6.59450e+03 5.17403e-04
6.59640e+03 5.05700e-04
6.59830e+03 4.77407e-04
6.60020e+03 4.84111e-04
6.60210e+03 4.98502e-04
6.60400e+03 5.08948e-04
6.60590e+03 4.82472e-04
6.60780e+03 4.81019e-04
6.60970e+03 5.04737e-04
6.61160e+03 5.07445e-04
6.61350e+03 5.11787e-04
6.61540e+03 5.15744e-04
6.61730e+03 5.27327e-04
6.61920e+03 4.92888e-04
6.62110e+03 4.88072e-04
6.62300e+03 5.01894e-04
6.62490e+03 5.34562e-04
6.62680e+03 5.26335e-04
6.62870e+03 5.11678e-04
6.63060e+03 5.00117e-04
6.63250e+03 5.35193e-04
6.63440e+03 5.43485e-04
6.63630e+03 5.29197e-04
6.63820e+03 5.50732e-04
