#  wave flux
#  2MASS_J00242463-0158201.txt - L3.5
1.00000e-01 0.00000e+00
3.54300e+03 3.65527e-05
4.77000e+03 8.47370e-05
5.44579e+03 1.57492e-04
6.23100e+03 4.41094e-04
6.37990e+03 5.48437e-04
6.38280e+03 5.22165e-04
6.38570e+03 4.36539e-04
6.38860e+03 3.91507e-04
6.39150e+03 4.41365e-04
6.39440e+03 4.13049e-04
6.39730e+03 5.47443e-04
6.40020e+03 4.10582e-04
6.40310e+03 4.15466e-04
6.40600e+03 4.58621e-04
6.40890e+03 4.91561e-04
6.41180e+03 4.81663e-04
6.41470e+03 4.31120e-04
6.41760e+03 3.83439e-04
6.42050e+03 4.38447e-04
6.42340e+03 4.57204e-04
6.42630e+03 4.39151e-04
6.42920e+03 4.51513e-04
6.43210e+03 5.03067e-04
6.43500e+03 5.10566e-04
6.43790e+03 4.64839e-04
6.44080e+03 5.14316e-04
6.44370e+03 5.05766e-04
6.44660e+03 4.32307e-04
6.44950e+03 5.00617e-04
6.45240e+03 4.91102e-04
6.45530e+03 5.16378e-04
6.45820e+03 4.56534e-04
6.46110e+03 4.86750e-04
6.46400e+03 4.40301e-04
6.46690e+03 3.85560e-04
6.46980e+03 4.59715e-04
6.47270e+03 4.60240e-04
6.47560e+03 4.39163e-04
6.47850e+03 4.97827e-04
6.48140e+03 5.88963e-04
6.48430e+03 5.49970e-04
6.48720e+03 5.65671e-04
6.49010e+03 5.63258e-04
6.49300e+03 5.54055e-04
6.49590e+03 5.09782e-04
6.49880e+03 5.18807e-04
6.50170e+03 5.79652e-04
6.50460e+03 5.89396e-04
6.50750e+03 5.54357e-04
6.51040e+03 6.74244e-04
6.51330e+03 7.20948e-04
6.51620e+03 7.32479e-04
6.51910e+03 7.61303e-04
6.52200e+03 7.80334e-04
6.52490e+03 7.93000e-04
6.52780e+03 7.58337e-04
6.53070e+03 7.38218e-04
6.53360e+03 7.52825e-04
6.53650e+03 8.45072e-04
6.53940e+03 7.90853e-04
6.54230e+03 7.65137e-04
6.54520e+03 7.49530e-04
6.54810e+03 7.75659e-04
6.55100e+03 8.02936e-04
6.55390e+03 7.72501e-04
6.55680e+03 7.66185e-04
6.55970e+03 7.64328e-04
6.56260e+03 7.73913e-04
6.56550e+03 7.46506e-04
6.56840e+03 7.30894e-04
6.57130e+03 7.49549e-04
6.57420e+03 7.22279e-04
6.57710e+03 7.21960e-04
6.58000e+03 7.39956e-04
6.58290e+03 7.42177e-04
6.58580e+03 7.87934e-04
6.58870e+03 7.77415e-04
6.59160e+03 7.42698e-04
6.59450e+03 6.72888e-04
6.59740e+03 6.86916e-04
6.60030e+03 7.64964e-04
6.60320e+03 8.19201e-04
6.60610e+03 8.65238e-04
6.60900e+03 8.35435e-04
6.61190e+03 8.29565e-04
6.61480e+03 8.52320e-04
6.61770e+03 7.98846e-04
6.62060e+03 7.83665e-04
6.62350e+03 7.54906e-04
6.62640e+03 7.03293e-04
6.62930e+03 7.89057e-04
6.63220e+03 8.23417e-04
6.63510e+03 7.66453e-04
6.63800e+03 7.72966e-04
6.64090e+03 8.35226e-04
6.64380e+03 7.87851e-04
6.64670e+03 7.85100e-04
6.64960e+03 7.78682e-04
6.65250e+03 7.58759e-04
6.65540e+03 7.88846e-04
6.65830e+03 8.14894e-04
6.66120e+03 8.25844e-04
6.66410e+03 8.37283e-04
6.66700e+03 8.09963e-04
6.66990e+03 8.10223e-04
6.67280e+03 8.75491e-04
6.67570e+03 8.05286e-04
6.67860e+03 7.94744e-04
6.68150e+03 8.29210e-04
6.68440e+03 8.31179e-04
6.68730e+03 8.41005e-04
6.69020e+03 8.11774e-04
6.69310e+03 8.17110e-04
6.69600e+03 9.18103e-04
6.69890e+03 8.83140e-04
6.70180e+03 9.02336e-04
6.70470e+03 9.42961e-04
6.70760e+03 8.74751e-04
6.71050e+03 9.02866e-04
6.71340e+03 8.72683e-04
6.71630e+03 8.44265e-04
6.71920e+03 8.49563e-04
6.72210e+03 8.82994e-04
6.72500e+03 8.48328e-04
6.72790e+03 8.56165e-04
6.73080e+03 8.73375e-04
6.73370e+03 8.49816e-04
6.73660e+03 9.11399e-04
6.73950e+03 9.14724e-04
6.74240e+03 9.63597e-04
6.74530e+03 9.28355e-04
6.74820e+03 8.65739e-04
6.75110e+03 8.67991e-04
6.75400e+03 8.93306e-04
6.75690e+03 9.15386e-04
6.75980e+03 9.89874e-04
6.76270e+03 1.04584e-03
6.76560e+03 9.73963e-04
6.76850e+03 9.90951e-04
6.77140e+03 1.00566e-03
6.77430e+03 9.91319e-04
6.77720e+03 9.04040e-04
6.78010e+03 9.12966e-04
6.78300e+03 9.17968e-04
6.78590e+03 9.21034e-04
6.78880e+03 8.71719e-04
6.79170e+03 9.26282e-04
6.79460e+03 9.21162e-04
6.79750e+03 9.07080e-04
6.80040e+03 9.85055e-04
6.80330e+03 9.59388e-04
6.80620e+03 9.33994e-04
6.80910e+03 8.23862e-04
6.81200e+03 8.72528e-04
6.81490e+03 9.13477e-04
6.81780e+03 9.00579e-04
6.82070e+03 9.28625e-04
6.82360e+03 1.01388e-03
6.82650e+03 9.79678e-04
6.82940e+03 1.02728e-03
6.83230e+03 9.69411e-04
