#  wave flux
#  2MASSW_J1515008%2B484742.txt - L6.0
1.00000e-01 0.00000e+00
3.54300e+03 1.79988e-06
4.77000e+03 6.16080e-06
6.23100e+03 2.25588e-05
6.32218e+03 1.07295e-05
6.32435e+03 1.21387e-04
6.32653e+03 1.87984e-04
6.32871e+03 7.31761e-05
6.33741e+03 1.85315e-05
6.33959e+03 8.18435e-05
6.35482e+03 2.94200e-05
6.35700e+03 9.82185e-05
6.35917e+03 3.78435e-05
6.36135e+03 9.49284e-05
6.36353e+03 1.66554e-04
6.36570e+03 8.49102e-05
6.36788e+03 6.99092e-08
6.37006e+03 1.72990e-05
6.39182e+03 1.66413e-05
6.39617e+03 1.20262e-05
6.39835e+03 8.15162e-05
6.40705e+03 1.22744e-05
6.40923e+03 1.85060e-05
6.41141e+03 2.14194e-05
6.41358e+03 1.15602e-04
6.41576e+03 2.89484e-05
6.42011e+03 5.50627e-07
6.42229e+03 6.48006e-05
6.42447e+03 9.61474e-06
6.42664e+03 1.51414e-05
6.42882e+03 1.50230e-05
6.45711e+03 1.45716e-05
6.45929e+03 6.82557e-06
6.47452e+03 1.65986e-04
6.47670e+03 2.06720e-04
6.48323e+03 9.21825e-05
6.48540e+03 2.03186e-05
6.48976e+03 4.68124e-05
6.50281e+03 4.85318e-05
6.50499e+03 9.29061e-05
6.50717e+03 6.86137e-05
6.50934e+03 7.00927e-05
6.51152e+03 6.16997e-05
6.51370e+03 4.00939e-05
6.52458e+03 1.20102e-04
6.52675e+03 1.55840e-04
6.52893e+03 7.48015e-05
6.53111e+03 1.95523e-05
6.53328e+03 4.73450e-05
6.53546e+03 3.28244e-05
6.53764e+03 1.71546e-05
6.53981e+03 5.34678e-05
6.54199e+03 3.54651e-05
6.55069e+03 7.26593e-05
6.55287e+03 1.49619e-04
6.55505e+03 1.25969e-05
6.55940e+03 5.19562e-05
6.56158e+03 8.72514e-05
6.57028e+03 4.58947e-05
6.57246e+03 1.02023e-04
6.57463e+03 3.63692e-05
6.58334e+03 2.96173e-05
6.58552e+03 5.71686e-05
6.59204e+03 2.19275e-05
6.59422e+03 3.12140e-05
6.59640e+03 6.77062e-05
6.59857e+03 1.42524e-04
6.60075e+03 5.64729e-05
6.60946e+03 7.63305e-05
6.61163e+03 8.13458e-05
6.61816e+03 9.99615e-06
6.62251e+03 5.47023e-05
6.62469e+03 1.40107e-04
6.62687e+03 6.64128e-05
6.62904e+03 5.82372e-05
6.63122e+03 1.85862e-04
6.63340e+03 1.76674e-04
6.63557e+03 3.91343e-05
6.63775e+03 9.48232e-05
6.63992e+03 9.54830e-05
6.64210e+03 5.37865e-05
6.64428e+03 2.15031e-05
6.64863e+03 1.08626e-05
6.65081e+03 2.84647e-05
6.65298e+03 5.38770e-05
6.65516e+03 7.60559e-05
6.65734e+03 2.87630e-05
6.65951e+03 3.11344e-05
6.66169e+03 1.89533e-05
6.66604e+03 3.86153e-05
6.66822e+03 1.32833e-05
6.67039e+03 6.90970e-05
6.67257e+03 8.10277e-05
6.67692e+03 4.20600e-05
6.67910e+03 1.09738e-04
6.68128e+03 9.09265e-05
6.68345e+03 1.16470e-04
6.68563e+03 8.90328e-05
6.68781e+03 6.30541e-05
6.69433e+03 6.48981e-05
6.69651e+03 1.01365e-04
6.69869e+03 8.75273e-06
6.70522e+03 1.40779e-05
6.70739e+03 7.93908e-05
6.70957e+03 1.29628e-04
6.71174e+03 8.97778e-05
6.71392e+03 8.11368e-05
6.71610e+03 6.41934e-05
6.71827e+03 4.69653e-05
6.72045e+03 8.66118e-05
6.72263e+03 1.56019e-04
6.72480e+03 1.79196e-05
6.72916e+03 4.36782e-06
6.73133e+03 3.89412e-05
6.73351e+03 4.45844e-05
6.73568e+03 2.57261e-06
6.73786e+03 4.38047e-05
6.74004e+03 1.88439e-04
6.74221e+03 9.98554e-05
6.74439e+03 7.86688e-07
6.74657e+03 6.95405e-05
6.74874e+03 1.61014e-04
6.75092e+03 1.69516e-05
6.75745e+03 8.04861e-05
6.76180e+03 1.30580e-05
6.76398e+03 7.99558e-05
6.76615e+03 8.51268e-05
6.76833e+03 7.18410e-05
6.77051e+03 8.19440e-05
6.77268e+03 1.11117e-04
6.77486e+03 1.27292e-04
6.77704e+03 1.07877e-04
6.77921e+03 6.45738e-05
6.78139e+03 1.61920e-05
6.78356e+03 9.11920e-06
6.78574e+03 4.98459e-05
6.78792e+03 6.07730e-05
6.79009e+03 7.49003e-06
6.79445e+03 1.03414e-06
6.79662e+03 2.77150e-05
6.79880e+03 3.21096e-05
6.80315e+03 2.00119e-05
6.80533e+03 1.66386e-04
6.80750e+03 1.43423e-04
6.80968e+03 1.38663e-04
6.81186e+03 1.83604e-04
6.81403e+03 9.09292e-05
6.81621e+03 7.11864e-05
6.81839e+03 3.54672e-05
6.82056e+03 3.89500e-05
6.82274e+03 1.28668e-04
6.82927e+03 3.01274e-05
6.83144e+03 6.28129e-05
6.83362e+03 3.40311e-05
6.83580e+03 8.14877e-05
6.83797e+03 8.45034e-05
6.84233e+03 3.82159e-05
6.84450e+03 6.38023e-05
6.84668e+03 3.93758e-05
6.84886e+03 4.11702e-05
6.85103e+03 8.54329e-05
6.85321e+03 1.06604e-04
6.85538e+03 6.20685e-05
6.85974e+03 1.28177e-05
6.86191e+03 5.12768e-05
6.86409e+03 1.23006e-04
6.86627e+03 1.85153e-04
6.86844e+03 1.52963e-04
6.87062e+03 8.40887e-05
6.87280e+03 8.26059e-05
6.87497e+03 1.07610e-04
6.87715e+03 5.80190e-05
6.87932e+03 1.27250e-05
6.88150e+03 2.57925e-05
6.88368e+03 1.12173e-04
6.88585e+03 1.81630e-04
6.88803e+03 1.24112e-04
6.89021e+03 4.95447e-05
6.89238e+03 5.11307e-05
6.89456e+03 7.19176e-05
6.89891e+03 2.81950e-05
6.90109e+03 1.28924e-04
6.90326e+03 8.02514e-05
6.90979e+03 2.96605e-05
6.91197e+03 3.62875e-05
6.91415e+03 9.66220e-05
6.91632e+03 9.16619e-05
6.91850e+03 5.06332e-05
6.92068e+03 1.82443e-06
6.93373e+03 7.06459e-05
6.93591e+03 6.84615e-05
6.93809e+03 2.39770e-05
6.94026e+03 1.69109e-05
6.94244e+03 5.49344e-05
6.94462e+03 7.11578e-05
6.94679e+03 2.74345e-05
6.95332e+03 6.06285e-05
6.95550e+03 7.12852e-05
6.95985e+03 5.03837e-05
6.96203e+03 2.87088e-05
6.96638e+03 7.58881e-06
6.96856e+03 2.31956e-05
6.97073e+03 6.51390e-06
6.97291e+03 4.19694e-05
6.97508e+03 1.14036e-04
6.97726e+03 7.84666e-05
6.97944e+03 4.43783e-05
6.98161e+03 6.77800e-05
6.98379e+03 8.57666e-05
6.98597e+03 8.72294e-05
6.98814e+03 9.30016e-05
6.99032e+03 8.21229e-05
6.99250e+03 5.43985e-05
6.99467e+03 1.10137e-04
6.99685e+03 6.91632e-05
6.99902e+03 1.43595e-05
7.00120e+03 1.04318e-04
7.00338e+03 8.85241e-05
7.00555e+03 6.92953e-05
7.00773e+03 7.73132e-05
7.00991e+03 5.78180e-05
7.01208e+03 8.94595e-05
7.01426e+03 9.99437e-05
7.01644e+03 6.16139e-05
7.01861e+03 9.67064e-06
7.02514e+03 7.71844e-05
7.02732e+03 1.34478e-04
7.02949e+03 8.32114e-05
7.03167e+03 1.01350e-04
7.03385e+03 1.62309e-04
7.03602e+03 1.51083e-04
7.03820e+03 1.79879e-04
7.04038e+03 1.17421e-04
7.04255e+03 1.16964e-05
7.05126e+03 5.04164e-06
7.05343e+03 2.69553e-05
7.05561e+03 5.18563e-05
7.05779e+03 6.64545e-05
7.05996e+03 6.46779e-05
7.06214e+03 5.25306e-05
7.06432e+03 1.82304e-05
7.06649e+03 3.18493e-05
7.06867e+03 6.33555e-05
7.07084e+03 6.31207e-05
7.07302e+03 1.15343e-04
7.07520e+03 8.66814e-05
7.07737e+03 2.57864e-05
7.07955e+03 6.51015e-05
7.08173e+03 9.16879e-05
7.08390e+03 9.70039e-05
7.08608e+03 6.40081e-05
7.09043e+03 1.75026e-05
7.09261e+03 6.32143e-05
7.09478e+03 7.42651e-05
7.09696e+03 6.98532e-05
7.09914e+03 1.13467e-04
7.10131e+03 1.08747e-04
7.10349e+03 7.03318e-05
7.10567e+03 8.27700e-05
7.10784e+03 5.35364e-05
7.11002e+03 2.96377e-05
7.11219e+03 4.35964e-05
7.11437e+03 6.11315e-05
7.11655e+03 6.21216e-05
7.11872e+03 5.26115e-05
7.12090e+03 6.03594e-05
7.12308e+03 9.47221e-05
7.12525e+03 1.01995e-04
7.12743e+03 8.62538e-05
7.12961e+03 7.99297e-05
7.13178e+03 8.81456e-05
7.13396e+03 5.53501e-05
7.13614e+03 4.03766e-05
7.13831e+03 6.85738e-05
7.14049e+03 7.53383e-05
7.14266e+03 3.04121e-05
7.14484e+03 2.66583e-05
7.14702e+03 7.99226e-05
7.14919e+03 8.74263e-05
7.15137e+03 7.13326e-05
7.15355e+03 5.32497e-05
7.15572e+03 5.43259e-05
7.15790e+03 8.10488e-05
7.16008e+03 5.62766e-05
7.16225e+03 8.03649e-05
7.16443e+03 1.50560e-04
7.16660e+03 7.83022e-05
7.16878e+03 2.28407e-05
7.17096e+03 7.71549e-05
7.17313e+03 1.68043e-04
7.17531e+03 1.58820e-04
7.17749e+03 1.32386e-04
7.17966e+03 1.02903e-04
7.18184e+03 7.42437e-05
7.18401e+03 1.23421e-04
7.18619e+03 1.74630e-04
7.18837e+03 1.69426e-04
7.19054e+03 1.16171e-04
7.19272e+03 6.30159e-05
7.19490e+03 4.91590e-05
7.19707e+03 4.94746e-05
7.19925e+03 5.14616e-05
7.20143e+03 1.23693e-04
7.20360e+03 1.21678e-04
7.20578e+03 6.66059e-05
7.20796e+03 8.56093e-05
7.21013e+03 1.08820e-04
7.21231e+03 6.76652e-05
7.21448e+03 2.49064e-05
7.21666e+03 5.39380e-05
7.21884e+03 4.91420e-06
7.22101e+03 1.41279e-06
7.22319e+03 7.90377e-05
7.22537e+03 1.11805e-04
7.22754e+03 1.28191e-04
7.22972e+03 7.62473e-05
7.23189e+03 2.01277e-05
7.23407e+03 8.98138e-05
7.23625e+03 6.92619e-05
7.24278e+03 3.46222e-05
7.24495e+03 1.25827e-04
7.24713e+03 1.86009e-04
7.24931e+03 1.57547e-04
7.25148e+03 9.29354e-05
7.25366e+03 8.78347e-05
7.25583e+03 4.06733e-05
7.26019e+03 1.67034e-04
7.26236e+03 1.72313e-04
7.26454e+03 2.82826e-05
7.26672e+03 4.79138e-05
7.26889e+03 4.62644e-05
7.27107e+03 7.54410e-05
7.27325e+03 8.49528e-05
7.27542e+03 3.60719e-06
7.27760e+03 2.41324e-05
7.27977e+03 3.70574e-05
7.28195e+03 1.97145e-05
7.28413e+03 6.45184e-05
7.28630e+03 3.66220e-05
7.28848e+03 3.98764e-05
7.29066e+03 1.06449e-04
7.29283e+03 1.02771e-04
7.29501e+03 5.46207e-05
7.29719e+03 4.73884e-05
7.29936e+03 8.61525e-05
7.30154e+03 7.52665e-05
7.30371e+03 2.70622e-05
7.30589e+03 2.24457e-05
7.30807e+03 9.47744e-05
7.31024e+03 1.61981e-04
7.31242e+03 1.34918e-04
7.31460e+03 9.68925e-05
7.31677e+03 1.32251e-04
7.31895e+03 1.26590e-04
7.32113e+03 7.70050e-05
7.32330e+03 7.73761e-05
7.32548e+03 1.50635e-04
7.32765e+03 1.06216e-04
7.32983e+03 5.49258e-05
7.33201e+03 4.94693e-05
7.33418e+03 3.49245e-05
7.33636e+03 1.19938e-04
7.33854e+03 1.46765e-04
7.34071e+03 8.42674e-05
7.34289e+03 1.01892e-04
7.34507e+03 7.20586e-05
7.34724e+03 2.34442e-05
7.34942e+03 4.42214e-05
7.35159e+03 1.19943e-04
7.35377e+03 1.22790e-04
7.35595e+03 3.51504e-05
7.36030e+03 1.65984e-05
7.36248e+03 5.97119e-05
7.36465e+03 8.03753e-05
7.36683e+03 1.19236e-04
7.36901e+03 5.09816e-05
7.37336e+03 2.76003e-06
7.37553e+03 1.93121e-05
7.37771e+03 3.95747e-05
7.37989e+03 8.93502e-05
7.38206e+03 1.15988e-04
7.38424e+03 3.77630e-05
7.38859e+03 1.22608e-05
7.39077e+03 7.24560e-05
7.39295e+03 4.53795e-05
7.39512e+03 1.57349e-05
7.39730e+03 1.56510e-05
7.39947e+03 3.11996e-05
7.40165e+03 6.71905e-05
7.40383e+03 5.27357e-05
7.40600e+03 3.20898e-05
7.40818e+03 7.06663e-05
7.41036e+03 6.95358e-05
7.41253e+03 1.20791e-05
7.41471e+03 7.90227e-06
7.41689e+03 1.29361e-04
7.41906e+03 1.52556e-04
7.42124e+03 7.54073e-05
7.42341e+03 1.43409e-05
7.42559e+03 2.67178e-05
7.42777e+03 4.19158e-06
7.43212e+03 2.76216e-05
7.43430e+03 7.67280e-06
7.43647e+03 4.66875e-05
7.43865e+03 5.34000e-05
7.44300e+03 2.80686e-05
7.44518e+03 4.91120e-05
7.44953e+03 2.00571e-05
