#  wave flux
#  GJ_1111.txt - M6.5
1.00000e-01 0.00000e+00
3.54300e+03 1.72204e-04
4.77000e+03 8.88049e-04
5.44579e+03 1.65981e-03
6.23100e+03 2.80101e-03
6.41420e+03 6.69554e-03
7.62500e+03 2.05033e-02
7.97880e+03 2.91501e-02
8.08192e+03 4.30551e-02
8.08395e+03 4.35705e-02
8.08597e+03 4.45389e-02
8.08800e+03 4.46313e-02
8.09002e+03 4.40633e-02
8.09205e+03 4.43928e-02
8.09407e+03 4.46125e-02
8.09610e+03 4.47903e-02
8.09812e+03 4.45804e-02
8.10015e+03 4.37064e-02
8.10217e+03 4.42348e-02
8.10420e+03 4.39177e-02
8.10622e+03 4.41522e-02
8.10824e+03 4.55430e-02
8.11027e+03 4.68615e-02
8.11201e+03 4.67714e-02
8.11434e+03 4.73760e-02
8.11667e+03 4.63488e-02
8.11901e+03 4.58335e-02
8.12134e+03 4.71825e-02
8.12367e+03 4.81862e-02
8.12601e+03 4.88327e-02
8.12834e+03 4.94548e-02
8.13067e+03 5.01217e-02
8.13300e+03 4.95003e-02
8.13534e+03 5.01139e-02
8.13767e+03 5.04365e-02
8.14000e+03 5.13938e-02
8.14233e+03 5.04877e-02
8.14467e+03 4.83435e-02
8.14700e+03 4.84173e-02
8.14933e+03 4.88949e-02
8.15166e+03 4.88607e-02
8.15399e+03 4.94909e-02
8.15633e+03 4.97829e-02
8.15866e+03 4.93425e-02
8.16099e+03 4.90188e-02
8.16332e+03 4.88308e-02
8.16565e+03 5.00489e-02
8.16798e+03 5.12383e-02
8.17032e+03 5.14201e-02
8.17265e+03 5.10401e-02
8.17498e+03 5.00352e-02
8.17731e+03 4.95303e-02
8.17964e+03 4.63832e-02
8.18197e+03 3.94664e-02
8.18430e+03 3.03878e-02
8.18663e+03 3.11186e-02
8.18896e+03 3.91145e-02
8.19129e+03 4.13752e-02
8.19362e+03 3.54881e-02
8.19596e+03 2.64170e-02
8.19829e+03 2.67533e-02
8.20062e+03 3.37984e-02
8.20295e+03 3.99546e-02
8.20528e+03 4.33479e-02
8.20761e+03 4.27087e-02
8.20994e+03 4.21022e-02
8.21227e+03 4.39652e-02
8.21460e+03 4.46508e-02
8.21693e+03 4.43395e-02
8.21926e+03 4.51326e-02
8.22159e+03 4.62165e-02
8.22392e+03 4.76716e-02
8.22625e+03 4.88207e-02
8.22858e+03 4.98762e-02
8.23091e+03 5.05602e-02
8.23323e+03 5.05227e-02
8.23556e+03 4.92714e-02
8.23789e+03 4.93998e-02
8.24022e+03 5.02747e-02
8.24255e+03 5.14101e-02
8.24488e+03 5.09839e-02
8.24721e+03 5.08548e-02
8.24954e+03 5.10990e-02
8.25187e+03 4.97702e-02
8.25420e+03 4.76114e-02
8.25653e+03 4.74109e-02
8.25885e+03 4.70418e-02
8.26118e+03 4.97784e-02
8.26351e+03 5.05133e-02
8.26584e+03 5.07544e-02
8.26817e+03 5.00508e-02
8.27050e+03 4.90978e-02
8.27283e+03 4.77817e-02
8.27515e+03 4.79577e-02
8.27748e+03 4.87626e-02
8.27981e+03 4.88163e-02
8.28214e+03 4.77950e-02
8.28447e+03 4.68207e-02
8.28679e+03 4.63463e-02
8.28912e+03 4.54871e-02
8.29145e+03 4.34996e-02
8.29378e+03 4.36888e-02
8.29610e+03 4.47146e-02
8.29843e+03 4.43408e-02
8.30076e+03 4.37851e-02
8.30309e+03 4.22850e-02
8.30541e+03 4.11848e-02
8.30774e+03 4.20541e-02
8.31007e+03 4.32535e-02
8.31240e+03 4.35152e-02
8.31472e+03 4.38041e-02
8.31705e+03 4.45099e-02
8.31938e+03 4.58343e-02
8.32170e+03 4.69764e-02
8.32403e+03 4.74705e-02
8.32636e+03 4.62643e-02
8.32868e+03 4.27573e-02
8.33101e+03 4.38472e-02
8.33334e+03 4.65859e-02
8.33566e+03 4.39488e-02
8.33799e+03 4.25130e-02
8.34032e+03 4.47250e-02
8.34264e+03 4.60174e-02
8.34497e+03 4.50347e-02
8.34730e+03 4.30638e-02
8.34962e+03 4.37663e-02
8.35195e+03 4.46487e-02
8.35427e+03 4.48886e-02
8.35660e+03 4.51013e-02
8.35893e+03 4.58407e-02
8.36125e+03 4.63730e-02
8.36358e+03 4.58071e-02
8.36590e+03 4.40090e-02
8.36823e+03 4.57638e-02
8.37055e+03 4.84657e-02
8.37288e+03 4.75253e-02
8.37521e+03 4.41477e-02
8.37753e+03 4.22257e-02
8.37986e+03 4.31438e-02
8.38218e+03 4.38298e-02
8.38451e+03 4.24241e-02
8.38683e+03 4.18747e-02
8.38916e+03 3.89289e-02
8.39148e+03 3.97910e-02
8.39381e+03 4.27501e-02
8.39613e+03 4.30625e-02
8.39846e+03 4.27077e-02
8.40078e+03 4.42473e-02
8.40311e+03 4.57790e-02
8.40543e+03 4.62514e-02
8.40775e+03 4.64370e-02
8.41008e+03 4.72143e-02
8.41240e+03 4.58932e-02
8.41473e+03 4.54740e-02
8.41705e+03 4.80031e-02
8.41938e+03 4.75569e-02
8.42170e+03 4.38549e-02
8.42402e+03 4.38850e-02
8.42635e+03 4.37237e-02
8.42867e+03 4.20981e-02
8.43100e+03 4.37661e-02
8.43332e+03 4.21342e-02
8.43564e+03 3.33624e-02
8.43797e+03 3.05968e-02
8.44029e+03 3.65292e-02
8.44262e+03 3.72796e-02
8.44494e+03 3.24878e-02
8.44726e+03 3.10773e-02
8.44959e+03 3.29744e-02
8.45191e+03 3.17605e-02
8.45423e+03 2.75349e-02
8.45656e+03 2.57968e-02
8.45888e+03 2.66049e-02
8.46120e+03 2.79202e-02
8.46353e+03 2.85954e-02
8.46585e+03 2.77894e-02
8.46817e+03 2.71095e-02
8.47049e+03 2.67092e-02
8.47282e+03 2.71085e-02
8.47514e+03 2.71869e-02
8.47746e+03 2.82336e-02
8.47979e+03 2.92297e-02
8.48211e+03 2.93253e-02
8.48443e+03 2.93848e-02
8.48675e+03 3.06651e-02
8.48908e+03 3.15211e-02
8.49140e+03 3.23658e-02
8.49372e+03 3.33189e-02
8.49604e+03 3.23673e-02
8.49836e+03 3.01264e-02
8.50069e+03 2.99400e-02
8.50301e+03 3.14387e-02
8.50533e+03 3.09263e-02
8.50765e+03 2.90187e-02
8.50997e+03 2.85035e-02
8.51230e+03 3.04046e-02
8.51462e+03 3.07266e-02
8.51694e+03 2.88620e-02
8.51926e+03 2.77025e-02
8.52158e+03 2.71007e-02
8.52390e+03 2.76718e-02
8.52623e+03 3.01410e-02
8.52855e+03 3.12829e-02
8.53087e+03 3.17402e-02
8.53319e+03 3.16974e-02
8.53551e+03 3.27041e-02
8.53783e+03 3.34935e-02
8.54015e+03 3.31592e-02
8.54248e+03 3.28045e-02
8.54480e+03 3.22066e-02
8.54712e+03 3.31387e-02
8.54944e+03 3.50835e-02
8.55176e+03 3.58133e-02
8.55408e+03 3.67468e-02
8.55640e+03 3.73865e-02
8.55872e+03 3.70316e-02
8.56104e+03 3.45642e-02
8.56336e+03 3.38746e-02
8.56568e+03 3.58865e-02
8.56800e+03 3.73160e-02
8.57032e+03 3.70651e-02
8.57265e+03 3.60906e-02
8.57497e+03 3.59269e-02
8.57729e+03 3.65423e-02
8.57961e+03 3.77322e-02
