#  wave flux
#  Gliese_752_B.txt - M8.0
1.00000e-01 0.00000e+00
3.54300e+03 8.12164e-05
4.77000e+03 2.95963e-04
5.50000e+03 1.27794e-03
5.50290e+03 1.62178e-03
5.50580e+03 2.11070e-03
5.50870e+03 2.65367e-03
5.51160e+03 1.31635e-03
5.51450e+03 1.67320e-03
5.51740e+03 2.07031e-03
5.52030e+03 1.16502e-03
5.52320e+03 1.57058e-03
5.52610e+03 3.03920e-03
5.52900e+03 2.41386e-03
5.53190e+03 1.75985e-03
5.53480e+03 2.22406e-03
5.53770e+03 1.36035e-03
5.54060e+03 2.83797e-03
5.54350e+03 2.21750e-03
5.54640e+03 1.29059e-03
5.54930e+03 1.92102e-03
5.55220e+03 2.22504e-03
5.55510e+03 2.10283e-03
5.55800e+03 1.79230e-03
5.56090e+03 2.26581e-03
5.56380e+03 2.81488e-03
5.56670e+03 2.52949e-03
5.56960e+03 3.14446e-03
5.57250e+03 2.11744e-03
5.57540e+03 1.89177e-03
5.57830e+03 2.51675e-03
5.58120e+03 3.71290e-03
5.58410e+03 3.51011e-03
5.58700e+03 3.35533e-03
5.58990e+03 2.37054e-03
5.59280e+03 2.33717e-03
5.59570e+03 2.73508e-03
5.59860e+03 2.67602e-03
5.60150e+03 2.47143e-03
5.60440e+03 2.70921e-03
5.60730e+03 3.23522e-03
5.61020e+03 2.28206e-03
5.61310e+03 2.61234e-03
5.61600e+03 2.26043e-03
5.61890e+03 2.77298e-03
5.62180e+03 2.84578e-03
5.62470e+03 2.47710e-03
5.62760e+03 2.82654e-03
5.63050e+03 2.64509e-03
5.63340e+03 2.84887e-03
5.63630e+03 2.38761e-03
5.63920e+03 2.28229e-03
5.64210e+03 3.22089e-03
5.64500e+03 3.06606e-03
5.64790e+03 2.75451e-03
5.65080e+03 2.56446e-03
5.65370e+03 2.90578e-03
5.65660e+03 2.43173e-03
5.65950e+03 3.28707e-03
5.66240e+03 2.14882e-03
5.66530e+03 2.25945e-03
5.66820e+03 2.63967e-03
5.67110e+03 2.21814e-03
5.67400e+03 3.28802e-03
5.67690e+03 2.99767e-03
5.67980e+03 2.64784e-03
5.68270e+03 2.80204e-03
5.68560e+03 2.71745e-03
5.68850e+03 3.97734e-03
5.69140e+03 3.16288e-03
5.69430e+03 2.80404e-03
5.69720e+03 3.17337e-03
5.70010e+03 3.27081e-03
5.70300e+03 3.49855e-03
5.70590e+03 2.68807e-03
5.70880e+03 2.50648e-03
5.71170e+03 3.18004e-03
5.71460e+03 3.17394e-03
5.71750e+03 3.25804e-03
5.72040e+03 3.08773e-03
5.72330e+03 3.22137e-03
5.72620e+03 3.28132e-03
5.72910e+03 3.27198e-03
5.73200e+03 3.31983e-03
5.73490e+03 2.61517e-03
5.73780e+03 3.58310e-03
5.74070e+03 3.02298e-03
5.74360e+03 2.99049e-03
5.74650e+03 2.57124e-03
5.74940e+03 2.85354e-03
5.75230e+03 3.27509e-03
5.75520e+03 3.32468e-03
5.75810e+03 2.71806e-03
5.76100e+03 3.22797e-03
5.76390e+03 3.25305e-03
5.76680e+03 2.72840e-03
5.76970e+03 2.86565e-03
5.77260e+03 3.15763e-03
5.77550e+03 2.83330e-03
5.77840e+03 2.88444e-03
5.78130e+03 3.06919e-03
5.78420e+03 3.03451e-03
5.78710e+03 2.70697e-03
5.79000e+03 2.58636e-03
5.79290e+03 2.98885e-03
5.79580e+03 2.83631e-03
5.79870e+03 3.05849e-03
5.80160e+03 3.03856e-03
5.80450e+03 3.23684e-03
5.80740e+03 3.29102e-03
5.81030e+03 3.21145e-03
5.81320e+03 2.76069e-03
5.81610e+03 2.89308e-03
5.81900e+03 2.88058e-03
5.82190e+03 2.85916e-03
5.82480e+03 3.19456e-03
5.82770e+03 3.16772e-03
5.83060e+03 3.21219e-03
5.83350e+03 3.16021e-03
5.83640e+03 2.78604e-03
5.83930e+03 2.81818e-03
5.84220e+03 3.29342e-03
5.84510e+03 3.26190e-03
5.84800e+03 2.88009e-03
5.85090e+03 2.87325e-03
5.85380e+03 2.63970e-03
5.85670e+03 2.49169e-03
5.85960e+03 3.21022e-03
5.86250e+03 2.85548e-03
5.86540e+03 2.88414e-03
5.86830e+03 2.79512e-03
5.87120e+03 3.41690e-03
5.87410e+03 2.85144e-03
5.87700e+03 2.99316e-03
5.87990e+03 2.61769e-03
5.88280e+03 2.51355e-03
5.88570e+03 2.45720e-03
5.88860e+03 2.16134e-03
5.89150e+03 2.30674e-03
5.89440e+03 2.62125e-03
5.89730e+03 2.34997e-03
5.90020e+03 2.71562e-03
5.90310e+03 2.75327e-03
5.90600e+03 2.78417e-03
5.90890e+03 2.82362e-03
5.91180e+03 2.69724e-03
5.91470e+03 2.79527e-03
5.91760e+03 2.61684e-03
5.92050e+03 2.50138e-03
5.92340e+03 2.81369e-03
5.92630e+03 3.10801e-03
5.92920e+03 2.90485e-03
5.93210e+03 2.92573e-03
5.93500e+03 2.94610e-03
5.93790e+03 2.39012e-03
5.94080e+03 2.62333e-03
5.94370e+03 2.88880e-03
5.94660e+03 2.63476e-03
5.94950e+03 2.93949e-03
5.95240e+03 2.86241e-03
5.95530e+03 2.68859e-03
5.95820e+03 2.95089e-03
5.96110e+03 2.87583e-03
5.96400e+03 2.91268e-03
5.96690e+03 2.80449e-03
5.96980e+03 2.71378e-03
5.97270e+03 2.80335e-03
5.97560e+03 3.17364e-03
5.97850e+03 2.78227e-03
5.98140e+03 2.43900e-03
5.98430e+03 2.83773e-03
5.98720e+03 3.16483e-03
5.99010e+03 2.89791e-03
5.99300e+03 2.86993e-03
5.99590e+03 3.08215e-03
5.99880e+03 2.95632e-03
6.00170e+03 2.52219e-03
6.00460e+03 2.88177e-03
6.00750e+03 2.92866e-03
6.01040e+03 2.74723e-03
6.01330e+03 2.70400e-03
6.01620e+03 2.77716e-03
6.01910e+03 2.97709e-03
6.02200e+03 2.95335e-03
6.02490e+03 3.19879e-03
6.02780e+03 3.21120e-03
6.03070e+03 3.04308e-03
6.03360e+03 3.13147e-03
6.03650e+03 2.96102e-03
6.03940e+03 2.93794e-03
6.04230e+03 2.97598e-03
6.04520e+03 2.96769e-03
6.04810e+03 3.48077e-03
6.05100e+03 3.29672e-03
6.05390e+03 3.26552e-03
6.05680e+03 3.09840e-03
6.05970e+03 3.21912e-03
6.06260e+03 3.33840e-03
6.06550e+03 3.19221e-03
6.06840e+03 3.16132e-03
6.07130e+03 3.36398e-03
6.07420e+03 3.43749e-03
6.07710e+03 3.18431e-03
6.08000e+03 3.07991e-03
6.08290e+03 3.17597e-03
6.08580e+03 3.00910e-03
6.08870e+03 3.22045e-03
6.09160e+03 3.08737e-03
6.09450e+03 3.24767e-03
6.09740e+03 3.12118e-03
6.10030e+03 3.38086e-03
6.10320e+03 3.42686e-03
6.10610e+03 3.27121e-03
6.10900e+03 3.45992e-03
6.11190e+03 3.55040e-03
6.11480e+03 3.13861e-03
6.11770e+03 3.17709e-03
6.12060e+03 3.09781e-03
6.12350e+03 2.91531e-03
6.12640e+03 3.14806e-03
6.12930e+03 2.97889e-03
6.13220e+03 3.05606e-03
6.13510e+03 2.96516e-03
6.13800e+03 3.01662e-03
6.14090e+03 2.88911e-03
6.14380e+03 2.90914e-03
6.14670e+03 2.98135e-03
6.14960e+03 3.14712e-03
6.15250e+03 3.05975e-03
6.15540e+03 2.87820e-03
6.15830e+03 2.80411e-03
6.16120e+03 2.83576e-03
6.16410e+03 2.86820e-03
6.16700e+03 2.78445e-03
6.16990e+03 2.72122e-03
6.17280e+03 2.81633e-03
6.17570e+03 2.73958e-03
6.17860e+03 2.31796e-03
6.18150e+03 2.07973e-03
6.18440e+03 1.66028e-03
6.18730e+03 1.53325e-03
6.19020e+03 1.45254e-03
6.19310e+03 1.40377e-05
6.19600e+03 6.56851e-04
6.19890e+03 1.86483e-03
6.20180e+03 1.96065e-03
6.20470e+03 1.81063e-03
6.20760e+03 1.63009e-03
6.21050e+03 1.53448e-03
6.21340e+03 1.54141e-03
6.21630e+03 1.07446e-03
6.21920e+03 1.58690e-03
6.22210e+03 2.39944e-03
6.22500e+03 2.65939e-03
6.22790e+03 2.58584e-03
6.23080e+03 2.42287e-03
6.23370e+03 2.79406e-03
6.23660e+03 2.73352e-03
6.23950e+03 2.83701e-03
6.24240e+03 2.91926e-03
6.24530e+03 2.87499e-03
6.24820e+03 2.67379e-03
6.25110e+03 2.46273e-03
6.25400e+03 2.80659e-03
6.25690e+03 2.65379e-03
6.25980e+03 2.67312e-03
6.26270e+03 2.99108e-03
6.26560e+03 2.81581e-03
6.26850e+03 2.83421e-03
6.27140e+03 2.90513e-03
6.27430e+03 2.92217e-03
6.27720e+03 2.50201e-03
6.28010e+03 2.54115e-03
6.28300e+03 2.64966e-03
6.28590e+03 2.74697e-03
6.28880e+03 2.84872e-03
6.29170e+03 2.68408e-03
6.29460e+03 2.82457e-03
6.29750e+03 2.64000e-03
6.30040e+03 2.92864e-03
6.30330e+03 2.72126e-03
6.30620e+03 2.79164e-03
6.30910e+03 2.85566e-03
6.31200e+03 3.33178e-03
6.31490e+03 3.21985e-03
6.31780e+03 3.22660e-03
6.32070e+03 3.29103e-03
6.32360e+03 3.37932e-03
6.32650e+03 3.51597e-03
6.32940e+03 3.24588e-03
6.33230e+03 3.37152e-03
6.33520e+03 3.24845e-03
6.33810e+03 3.32831e-03
6.34100e+03 3.29339e-03
6.34390e+03 3.15864e-03
6.34680e+03 3.39677e-03
6.34970e+03 3.09871e-03
6.35260e+03 3.48778e-03
6.35550e+03 3.73214e-03
6.35840e+03 3.25375e-03
6.36130e+03 3.15488e-03
6.36420e+03 3.85427e-03
6.36710e+03 3.55582e-03
6.37000e+03 3.36015e-03
6.37290e+03 3.43859e-03
6.37580e+03 3.33600e-03
6.37870e+03 3.42221e-03
6.38160e+03 3.80853e-03
6.38450e+03 3.68008e-03
6.38740e+03 3.64521e-03
6.39030e+03 3.54467e-03
6.39320e+03 3.45320e-03
6.39610e+03 3.44653e-03
6.39900e+03 3.65428e-03
6.40190e+03 3.50337e-03
6.40480e+03 3.35461e-03
6.40770e+03 3.61456e-03
6.41060e+03 3.50170e-03
6.41350e+03 3.67924e-03
6.41640e+03 3.65057e-03
6.41930e+03 3.45781e-03
6.42220e+03 3.47287e-03
6.42510e+03 3.80633e-03
6.42800e+03 3.68338e-03
6.43090e+03 3.76939e-03
6.43380e+03 3.91844e-03
6.43670e+03 3.81009e-03
6.43960e+03 3.77832e-03
6.44250e+03 3.60828e-03
6.44540e+03 3.84729e-03
6.44830e+03 3.82391e-03
6.45120e+03 3.53001e-03
6.45410e+03 3.41347e-03
6.45700e+03 3.44715e-03
6.45990e+03 3.78164e-03
6.46280e+03 3.77050e-03
6.46570e+03 3.59779e-03
6.46860e+03 3.58394e-03
6.47150e+03 3.82002e-03
6.47440e+03 3.58109e-03
6.47730e+03 3.89407e-03
6.48020e+03 3.75991e-03
6.48310e+03 3.76255e-03
6.48600e+03 3.73745e-03
6.48890e+03 3.66194e-03
6.49180e+03 3.75740e-03
6.49470e+03 4.10482e-03
6.49760e+03 3.99510e-03
6.50050e+03 3.83129e-03
6.50340e+03 4.31449e-03
6.50630e+03 4.75781e-03
6.50920e+03 4.63233e-03
6.51210e+03 4.69735e-03
6.51500e+03 4.94694e-03
6.51790e+03 4.94562e-03
6.52080e+03 4.99332e-03
6.52370e+03 5.19818e-03
6.52660e+03 5.29338e-03
6.52950e+03 5.63885e-03
6.53240e+03 6.08310e-03
6.53530e+03 6.03030e-03
6.53820e+03 6.28434e-03
6.54110e+03 6.06436e-03
6.54400e+03 6.20511e-03
6.54690e+03 6.01626e-03
6.54980e+03 6.04534e-03
6.55270e+03 6.00734e-03
6.55560e+03 5.54505e-03
6.55850e+03 5.58282e-03
6.56140e+03 5.98040e-03
6.56430e+03 5.73785e-03
6.56720e+03 6.55688e-03
6.57010e+03 6.27989e-03
6.57300e+03 5.39084e-03
6.57590e+03 5.39580e-03
6.57880e+03 4.88367e-03
6.58170e+03 4.34620e-03
6.58460e+03 4.36052e-03
6.58750e+03 4.36496e-03
