#  wave flux
#  SDSSp_J125453.90-012247.4.txt - T2.0
1.00000e-01 0.00000e+00
3.54300e+03 1.88167e-06
4.77000e+03 3.32703e-06
6.23100e+03 2.26479e-06
6.28821e+03 6.48708e-06
6.29008e+03 8.02588e-06
6.29194e+03 8.00349e-06
6.29381e+03 5.34458e-06
6.29567e+03 3.10383e-06
6.29754e+03 8.65451e-06
6.29940e+03 6.21255e-06
6.30127e+03 6.02026e-07
6.31433e+03 3.40434e-06
6.31620e+03 3.36295e-06
6.31806e+03 3.69462e-06
6.31993e+03 4.02732e-06
6.32179e+03 3.81662e-06
6.32739e+03 1.34821e-06
6.32926e+03 3.64363e-08
6.33672e+03 2.48880e-06
6.33858e+03 1.42019e-06
6.34418e+03 6.41641e-07
6.34605e+03 3.70513e-06
6.34978e+03 2.27679e-06
6.35164e+03 1.70587e-06
6.35351e+03 1.98804e-06
6.35538e+03 1.80800e-06
6.35911e+03 2.35243e-07
6.36097e+03 4.12882e-06
6.36284e+03 6.03465e-06
6.36470e+03 4.93721e-06
6.36657e+03 3.44404e-06
6.36844e+03 1.11758e-06
6.37030e+03 2.28425e-06
6.37217e+03 1.57305e-06
6.37403e+03 1.84901e-06
6.37590e+03 1.52185e-06
6.37777e+03 2.79776e-06
6.37963e+03 4.68025e-06
6.38150e+03 5.41185e-06
6.38336e+03 7.77693e-07
6.38523e+03 7.77179e-07
6.38709e+03 3.28926e-06
6.38896e+03 2.00052e-06
6.39083e+03 6.64388e-07
6.39269e+03 6.39453e-08
6.39456e+03 2.23118e-07
6.39642e+03 1.46988e-06
6.39829e+03 2.81345e-06
6.40015e+03 2.18850e-06
6.40202e+03 2.69803e-07
6.40389e+03 1.31409e-06
6.40762e+03 1.05116e-06
6.40948e+03 3.41747e-06
6.41135e+03 2.69780e-06
6.41695e+03 4.22363e-06
6.41881e+03 3.70268e-06
6.42068e+03 1.11692e-06
6.42627e+03 4.24570e-06
6.42814e+03 1.55095e-06
6.43187e+03 7.66029e-07
6.43374e+03 3.80885e-06
6.43560e+03 6.31178e-06
6.43747e+03 5.00872e-06
6.43933e+03 5.14177e-06
6.44120e+03 3.70916e-06
6.44493e+03 2.12114e-06
6.44680e+03 2.35469e-06
6.45240e+03 3.15852e-06
6.45426e+03 1.69541e-06
6.45613e+03 1.30542e-06
6.45799e+03 3.42473e-06
6.45986e+03 1.82175e-06
6.46172e+03 7.97924e-07
6.46546e+03 2.93768e-07
6.46919e+03 2.19747e-06
6.47105e+03 3.02812e-06
6.47292e+03 4.57828e-06
