#  wave flux
#  SDSSp_J162414.37%2B002915.6.txt - T6.0
1.00000e-01 0.00000e+00
3.54300e+03 2.25808e-06
4.77000e+03 3.38044e-06
6.23100e+03 2.50816e-06
6.30570e+03 4.53415e-06
6.30760e+03 3.82227e-06
6.31331e+03 2.74823e-06
6.31521e+03 3.23837e-06
6.31711e+03 5.25355e-06
6.31901e+03 6.02986e-06
6.32471e+03 4.25479e-06
6.32851e+03 2.33858e-06
6.33042e+03 2.08831e-06
6.33232e+03 2.36355e-06
6.33422e+03 2.05557e-06
6.33612e+03 1.71601e-06
6.33992e+03 1.69041e-06
6.34182e+03 2.01077e-06
6.35323e+03 3.25086e-06
6.35703e+03 4.59072e-06
6.35893e+03 4.24054e-06
6.36273e+03 2.72247e-06
6.36463e+03 1.81935e-06
6.36653e+03 1.53561e-06
6.36843e+03 1.42911e-06
6.37034e+03 1.68775e-06
6.37414e+03 1.96989e-06
6.37604e+03 1.97601e-06
6.37794e+03 2.26034e-06
6.37984e+03 2.79812e-06
6.38174e+03 2.86398e-06
6.38364e+03 2.95969e-06
6.38554e+03 3.39395e-06
6.38744e+03 3.31556e-06
6.38934e+03 2.93969e-06
6.39125e+03 3.05237e-06
6.39315e+03 3.23118e-06
6.39695e+03 2.95327e-06
6.39885e+03 2.36458e-06
6.40075e+03 1.95307e-06
6.40645e+03 1.86314e-06
6.40835e+03 1.89760e-06
6.41406e+03 1.90496e-06
6.41786e+03 1.58527e-06
6.41976e+03 1.32085e-06
6.42166e+03 1.64242e-06
6.42356e+03 2.24980e-06
6.42546e+03 2.70559e-06
6.42926e+03 2.76628e-06
6.43117e+03 2.30110e-06
6.43497e+03 2.01388e-06
6.43687e+03 2.46820e-06
6.43877e+03 2.74416e-06
6.44067e+03 2.29876e-06
6.44257e+03 1.76912e-06
6.44447e+03 1.72835e-06
6.45018e+03 2.56541e-06
6.45208e+03 3.55899e-06
6.45398e+03 3.66774e-06
6.45588e+03 3.29967e-06
6.45778e+03 2.90809e-06
6.45968e+03 2.53863e-06
6.46158e+03 2.25616e-06
6.46348e+03 2.27431e-06
6.46538e+03 2.37228e-06
6.46728e+03 2.02876e-06
6.46918e+03 2.07696e-06
6.47109e+03 2.60773e-06
6.47299e+03 2.42057e-06
6.47869e+03 1.91887e-06
6.48059e+03 1.82367e-06
6.48249e+03 1.68757e-06
6.48439e+03 1.47046e-06
6.48629e+03 1.70016e-06
6.48819e+03 2.45510e-06
6.49010e+03 3.34299e-06
6.49200e+03 3.64695e-06
6.49390e+03 3.26046e-06
6.49580e+03 3.06620e-06
6.49770e+03 3.07250e-06
6.49960e+03 2.76628e-06
6.50150e+03 2.43975e-06
6.50340e+03 2.24511e-06
6.50910e+03 1.96922e-06
6.51101e+03 1.90757e-06
6.51291e+03 2.23226e-06
6.51481e+03 2.11999e-06
6.51671e+03 1.27701e-06
6.52241e+03 7.19713e-07
6.52621e+03 9.04389e-07
6.53192e+03 1.64140e-06
6.53382e+03 2.75823e-06
6.53572e+03 3.72917e-06
6.53762e+03 4.06772e-06
6.53952e+03 3.59312e-06
6.54142e+03 2.74807e-06
6.54332e+03 2.32436e-06
6.54522e+03 2.67968e-06
6.54712e+03 3.77700e-06
6.55283e+03 4.92913e-06
6.55473e+03 4.96858e-06
6.55663e+03 4.05373e-06
6.55853e+03 3.46230e-06
6.56043e+03 3.39058e-06
6.56233e+03 2.95671e-06
6.56423e+03 2.00768e-06
6.56613e+03 1.33146e-06
6.56803e+03 1.43734e-06
6.56994e+03 2.07193e-06
6.57184e+03 2.80464e-06
6.57374e+03 3.37329e-06
6.57564e+03 3.56217e-06
6.57754e+03 3.46839e-06
6.57944e+03 3.24180e-06
6.58134e+03 2.85626e-06
6.58324e+03 2.36331e-06
