#  wave flux
#  2MASS_J11145133-2618235.txt - T7.5
1.00000e-01 0.00000e+00
7.62500e+03 6.87741e-07
8.04585e+03 1.47076e-06
8.07405e+03 9.96250e-06
8.10244e+03 2.33975e-05
8.13103e+03 1.97293e-05
8.15981e+03 2.50406e-05
8.18879e+03 2.55367e-05
8.21797e+03 1.80525e-05
8.36680e+03 7.29315e-06
8.42772e+03 6.31151e-06
8.58343e+03 1.10997e-05
8.64709e+03 1.14228e-05
8.67920e+03 9.05867e-06
8.71151e+03 2.86989e-06
8.74401e+03 2.61215e-05
8.77671e+03 1.15600e-06
8.80959e+03 9.91624e-06
8.84266e+03 1.69439e-05
8.87592e+03 8.65451e-06
8.90936e+03 1.66082e-05
8.94300e+03 1.28194e-05
8.97681e+03 1.01575e-05
9.01082e+03 7.09817e-06
9.04500e+03 6.80272e-06
9.07937e+03 1.94706e-05
9.11391e+03 2.66848e-05
9.14864e+03 1.82499e-05
9.18354e+03 2.12026e-05
9.21862e+03 1.12380e-05
9.25387e+03 1.74180e-05
9.28930e+03 1.16093e-05
9.32490e+03 2.59310e-05
9.36066e+03 9.94532e-07
9.39660e+03 2.44568e-06
9.43271e+03 2.52738e-05
9.46898e+03 2.38012e-05
9.50541e+03 2.70974e-06
9.54200e+03 1.28062e-05
9.57876e+03 1.06884e-05
9.61568e+03 3.06679e-05
9.65275e+03 1.58168e-05
9.68997e+03 2.83258e-05
9.72735e+03 4.32626e-05
9.76489e+03 4.87106e-05
9.80257e+03 5.78104e-05
9.84040e+03 5.59611e-05
9.87837e+03 6.58938e-05
9.91649e+03 5.15021e-05
9.95475e+03 7.58405e-05
9.99316e+03 9.24963e-05
1.00317e+04 1.00144e-04
1.00704e+04 1.21652e-04
1.01092e+04 1.25933e-04
1.01481e+04 1.29002e-04
1.01872e+04 1.49277e-04
1.02264e+04 1.60240e-04
1.02657e+04 1.67675e-04
1.03052e+04 1.66959e-04
1.03448e+04 1.67902e-04
1.03845e+04 1.94078e-04
1.04243e+04 2.15567e-04
1.04642e+04 2.19644e-04
1.05042e+04 2.22941e-04
1.05444e+04 2.20468e-04
1.05847e+04 2.28809e-04
1.06250e+04 2.30066e-04
1.06655e+04 2.27419e-04
1.07061e+04 2.35184e-04
1.07468e+04 2.29489e-04
1.07876e+04 2.35269e-04
1.08284e+04 2.27835e-04
1.08694e+04 2.24694e-04
1.09105e+04 1.62282e-04
1.09516e+04 1.42925e-04
1.09929e+04 8.16267e-05
1.10342e+04 6.37999e-05
1.10756e+04 2.23072e-05
1.11171e+04 2.70906e-05
1.11587e+04 2.19261e-05
1.12004e+04 4.80794e-06
1.12421e+04 1.61242e-05
1.12839e+04 7.82846e-06
1.13258e+04 2.04830e-05
1.13678e+04 1.85451e-05
1.14098e+04 1.91274e-05
1.14519e+04 6.25428e-06
1.14940e+04 1.41076e-05
1.15362e+04 1.17339e-05
1.15785e+04 1.44131e-05
1.16208e+04 1.69210e-05
1.16632e+04 1.15437e-05
1.17057e+04 1.53170e-05
1.17482e+04 2.52746e-05
1.17907e+04 3.81769e-05
1.18333e+04 3.43208e-05
1.18759e+04 5.87572e-05
1.19186e+04 6.97001e-05
1.19613e+04 6.51801e-05
1.20041e+04 1.07749e-04
1.20469e+04 1.07836e-04
1.20897e+04 1.26303e-04
1.21326e+04 1.48835e-04
1.21755e+04 1.66043e-04
1.22184e+04 1.82877e-04
1.22614e+04 2.11032e-04
1.23044e+04 2.29881e-04
1.23474e+04 2.45501e-04
1.23904e+04 2.61395e-04
1.24335e+04 2.69100e-04
1.24766e+04 3.08041e-04
1.25197e+04 3.23694e-04
1.25628e+04 3.39244e-04
1.26059e+04 3.53851e-04
