# field visit time xshift yshift rot scale rms N
j033217-274236 wfc3-ersii-g01-b6o-21-119.0-f098m 1514084906.0 -2.9436 0.5715 -0.0199 0.99974 0.394 13
j000208-152309 ic3t-066.0-f110w 1514084906.0 3.219 3.2912 0.0203 1.00029 0.222 28
j000208-152309 ic3t-066.0-f160w 1514085056.0 2.8295 3.0051 0.0195 1.00035 0.074 104
j000208-152309 ic3t-066.0-f814w 1520537523.0 9.377100000000155 2.3442999999999756 0.0 1.0 -1.0 -1
j000536-501218 ic3t-236.0-f110w 1514167023.0 -2.6913 2.4879 0.0219 1.0 0.113 40
j000536-501218 ic3t-236.0-f160w 1514166917.0 -3.0512 2.9064 0.0181 1.00003 0.112 7
j000536-501218 ic3t-236.0-f814w 1520614697.0 -8.930599999999913 6.977000000000089 0.0 1.0 -1.0 -1
j001147-065258 ic3t-240.0-f110w 1519319734.0 1.7009 -1.3392 0.0322 1.00051 0.164 13
j001147-065258 ic3t-240.0-f160w 1519319873.0 1.2409 -1.4025 0.0257 1.0005 0.079 45
j001147-065258 ic3t-240.0-f814w 1519320052.0 3.6899 -6.3042 0.027 1.00039 0.507 72
j001226-102757 ibl9-219.0-f160w 1520360047.0 -0.1703 -0.774 -0.0006 0.9988 0.645 12
j001421-302349 a2744-ca5-01-233.0-f105w 1514257931.0 0.7647 0.1403 0.0109 1.00019 0.116 68
j001421-302349 a2744-ca5-01-233.0-f140w 1514258190.0 0.5841 -0.0237 0.0205 1.0002 0.052 124
j001421-302349 a2744-ca5-02-233.0-f105w 1514258049.0 0.8192 -0.2276 0.0139 1.00022 0.082 115
j001421-302349 a2744-ca5-02-233.0-f140w 1514259815.0 0.0605 -0.8623 0.0231 1.00019 0.122 251
j001421-302349 a2744-rot-ca5-03-135.0-f105w 1514258318.0 -4.3064 2.2702 0.0092 1.0002 0.079 102
j001421-302349 a2744-rot-ca5-03-135.0-f140w 1514258565.0 -4.6648 2.1544 0.0194 1.00023 0.072 126
j001421-302349 a2744-rot-ca5-04-135.0-f105w 1514258433.0 -4.4925 2.152 0.0084 1.00018 0.052 111
j001421-302349 a2744-rot-ca5-04-135.0-f140w 1514259755.0 -4.6941 1.9629 0.0164 1.00021 0.099 271
j001421-302349 a2744ir-ca9-t3-062.0-f160w 1514259039.0 -1.3173 3.2866 0.0203 1.00026 0.092 250
j001421-302349 a2744ir-ca9-t4-070.0-f105w 1514260228.0 -1.1469 3.1604 0.0129 1.00016 0.128 251
j001421-302349 a2744ir-ca9-t4-070.0-f160w 1514259183.0 -1.1974 3.2422 0.0224 1.00025 0.124 281
j001421-302349 a2744ir-ca9-t5-074.0-f105w 1514260266.0 -0.6963 3.4725 0.0115 1.00017 0.117 253
j001421-302349 a2744ir-ca9-t5-074.0-f160w 1514258800.0 -0.7006 3.5741 0.0174 1.00027 0.098 227
j001421-302349 a2744ir-ca9-t6-078.0-f105w 1514260304.0 -0.6412 3.2449 0.0119 1.0002 0.102 247
j001421-302349 a2744ir-ca9-t6-078.0-f160w 1514258838.0 -0.6282 3.3382 0.0206 1.00027 0.119 277
j001421-302349 a2744ir-ca9-t7-085.0-f105w 1514260347.0 0.8042 1.5991 0.01 1.00019 0.118 253
j001421-302349 a2744ir-ca9-t7-085.0-f160w 1514258879.0 0.7385 1.6903 0.0158 1.00028 0.129 280
j001421-302349 a2744ir-ca9-t8-105.0-f105w 1514260397.0 0.6316 1.2706 0.0133 1.00016 0.104 253
j001421-302349 a2744ir-ca9-t8-105.0-f160w 1514258928.0 0.4935 1.3158 0.0177 1.00027 0.079 238
j001421-302349 abell-2744-c8n-01-233.0-f160w 1514259127.0 0.338 -0.7309 0.0188 1.00024 0.066 285
j001421-302349 abell-2744-c8n-03-233.0-f140w 1514259879.0 -0.1931 -1.2491 0.0203 1.00024 0.066 283
j001421-302349 abell-2744-c8n-04-233.0-f105w 1514260937.0 -0.1686 -1.2053 0.01 1.00019 0.068 250
j001421-302349 abell-2744-c8n-06-233.0-f160w 1514258746.0 0.1436 -0.5278 0.02 1.00025 0.059 284
j001421-302349 abell-2744-c8n-07-233.0-f105w 1514260452.0 -0.5928 -1.4039 0.0065 1.00016 0.073 250
